#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
35,Onyx Nnani,USOFL,0,0,0,125,0,58.8,0,0,0,0,0,0,0,224.2,89.5,134.7,1,38.4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,6-9,F,Fr,AAC,25-26,26,FORWARD,0,High-Major,FALSE
36,Dior Kennedy,UNH,0.459,0.444,94.4,0,47.1,22.6,61.6,0,7,6.7,33.6,21.1,1.1,121,77.7,43.3,13.3,38.2,6,2.8,1.7,0.7,1.5,0.444,0,0.3,0,0.3,0.7,0.5,0,1,1,0.8,0.3,0.2,0,0.3,,46.7,20.0,30.2,6-2,G,Fr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
37,Camden Webster,VAL,0.625,0.625,83.3,19.8,20.4,20.1,44.8,0,0,0,32.9,11.3,1.3,149.6,102.7,46.9,4.3,38.2,5,1.2,1,0.4,0.8,0.5,0.2,0.6,0.333,0,0,0,0.2,0.2,0.4,0.2,0,0,0,0.2,,0.0,75.0,44.5,6-3,G,Fr,MVC,25-26,26,GUARD,0,High-Major,FALSE
38,Brady Ganley,MIAMI,1.111,1.125,300,10.4,13.1,12,18.4,16.8,3.4,0,18.3,2,2.8,187,87.3,99.7,11.3,38.1,6,2.5,1.8,0.7,0.7,1,0.2,0.2,1,0.3,0.3,1,0.2,0.3,0.5,0.3,0.2,0,0.2,0.2,1.50,42.9,28.6,83.5,6-3,G,Fr,MAC,25-26,26,GUARD,0,Mid-Major,FALSE
39,Doryan Onwuchekwa,TULSA,1,1,100,0,0,0,0,0,0,0,21.6,0,2,200,89.5,110.5,2,38,1,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,35.0,6-11,C,So,AAC,25-26,26,BIG,0,High-Major,FALSE
40,Malek Archie,TARST,0.639,0.7,70,12.7,17.6,15.2,0,0,7.6,17.9,23.6,0,1.4,135.3,67.8,67.4,15,37.9,2,10.5,7,3.5,5,0.7,0,0,0,0,1,0,1,1.5,2.5,0,1.5,1.5,0,1,,20.0,0.0,24.4,6-2,G,Fr,WAC,25-26,26,GUARD,0,Mid-Major,FALSE
41,Kaleb Spencer,W&M,0.548,0.567,111.7,38.5,37.9,38.2,38.6,19.6,6.1,12.9,28.3,1.8,1.2,119.7,75.8,43.9,33.6,37.7,6,5.5,3,1.3,2.5,0.533,0.2,0.7,0.25,0.2,0.5,0.333,1.7,2,3.7,1.2,0.7,0.7,0.7,0.7,1.71,20.0,28.0,38.5,6-9,F,Fr,CAA,25-26,26,FORWARD,0,Mid-Major,FALSE
42,William Kruse,PENN,1.25,1.25,200,0,75.2,35.9,0,0,0,0,12.3,0,2.5,250,89.4,160.6,6.3,36.9,2,3.5,2.5,1,1,1,0.5,0.5,1,0,0,0,0,2.5,2.5,0,0,0,0,1,,0.0,50.0,78.8,6-11,C,Fr,IVY,25-26,26,BIG,0,Mid-Major,FALSE
43,Alex McFadden,DEL,0.526,0,50,0,0,0,44.1,0,15.4,0,27.4,18.5,0,139.3,103.5,35.8,2,36.7,3,1.3,0.7,0,0,0,0,0,0,0.7,1.3,0.5,0,0,0,0.3,0.3,0,0,0.3,,,,,6-1,G,So,C-USA,25-26,26,GUARD,0,Mid-Major,FALSE
44,Andrew Bhesania,BSTN,0.746,0.714,201.6,7.4,18.8,13.1,0,0,1.8,8.1,24.7,0,1.6,157.5,100.9,56.6,19.6,36.7,3,10.7,7.7,2.7,4.7,0.571,1.3,3,0.444,1,1,1,0.7,1.7,2.3,0,0.3,0.7,0,0.3,,21.3,63.8,73.9,6-8,C,Fr,Patriot,25-26,26,BIG,0,Low-Major,FALSE
45,Marcus Vaughns,LSU,0,0,0,0,0,0,145.2,0,0,0,0,68,0,229,122.4,106.6,1,36.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-8,GF,Fr,SEC,25-26,26,WING,0,Power 5,FALSE
46,Eyal Harel,PACI,1.5,1.5,200,0,14.8,7.7,0,0,0,0,11.6,0,3,300,93.4,206.6,5.3,36.6,3,3,2,0.7,0.7,1,0.7,0.7,1,0,0,0,0,0.3,0.3,0,0,0,0,0,,0.0,100.0,96.0,6-7,F,Fr,WCC,25-26,26,FORWARD,0,High-Major,FALSE
47,Cameron Boozer,DUKE,0.67,0.637,176.4,13.4,23.6,18.9,25.6,11.4,3.1,2.2,29.7,1.5,1.6,139.1,88.1,50.9,602.1,36.5,28,32.5,22.7,8,13.8,0.583,1.5,3.7,0.408,5.1,6.6,0.773,3.3,6.8,10.1,4,1.7,0.6,2.2,1.6,1.82,47.8,26.8,68.7,6-9,F,Fr,ACC,25-26,26,FORWARD,0,Power 5,FALSE
48,Mitchel Minor,NKU,1.167,1.167,200,0,0,0,0,25,0,0,25.5,-13.6,2.3,122.8,101.8,20.9,3.8,36.3,5,1.4,1.4,0.6,0.6,1,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0.2,0,0.00,0.0,33.3,71.8,5-10,G,Sr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
49,Shanon Simango,DART,0.66,0.667,128.6,22.5,22,22.2,4.7,8.3,2.8,0,29.3,-3.3,2.4,139.9,99.8,40.1,25.6,35.8,9,4.6,3.2,0.9,1.3,0.667,0,0.1,0,1.4,2.3,0.619,0.8,0.9,1.7,0.1,0.2,0,0.2,0.1,0.50,176.9,7.7,48.6,6-8,F,So,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
50,Kristian Gonzalez,IDAHO,0.955,0.938,250,0,6.5,3.3,0,17.5,0,0,32.5,-11.5,2.3,143.3,119.8,23.5,9.6,35.8,1,18,18,6,8,0.75,3,4,0.75,3,3,1,0,1,1,0,0,0,2,0,0.00,37.5,50.0,93.4,6-3,G,Jr,BSKY,25-26,26,GUARD,0,Low-Major,FALSE
51,Ethan McComb,BTLR,1,1,100,0,0,0,47.2,0,7.7,13.5,6.7,18.1,2,211.7,82.3,129.5,5.3,35.4,7,1,0.3,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0.3,0.1,0.1,0,0,,0.0,0.0,35.0,6-1,G,Jr,Big East,25-26,26,GUARD,0,Power 5,FALSE
52,Dior Johnson,TARST,0.67,0.598,196.3,3,12.9,7.8,14.8,9.6,2.7,0.3,37.3,-3.7,1.8,132.6,106.5,26.1,198.5,34.9,16,25.2,23.6,7.3,13.4,0.547,1.4,2.4,0.564,7.6,8.9,0.852,0.6,2.3,2.9,1.4,1.3,0.1,1.9,1.8,0.74,66.4,17.9,67.4,6-3,PG,Jr,WAC,25-26,26,GUARD,0,Mid-Major,FALSE
53,Anton Strelnikov,DART,0.671,0.678,175,18.9,6.7,12.5,6.7,9,1.3,8.8,32.2,-4.2,1.5,126.9,104.5,22.4,45.5,34.5,15,5.9,4.5,2,3,0.667,0.1,0.1,0.5,0.5,0.8,0.583,0.9,0.3,1.2,0.1,0.1,0.5,0.3,0.9,0.33,26.7,3.3,45.5,6-8,F,Fr,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
54,Brandon Klatsky,UGA,0.8,0.8,126.7,0,9.1,5,0,0,9.2,0,19.4,0,1.6,171,76,95,7,34.3,7,1.6,1.1,0.4,0.7,0.6,0.3,0.4,0.667,0,0,0,0,0.1,0.1,0,0.3,0,0,0,,0.0,57.1,55.2,6-4,G,Jr,SEC,25-26,26,GUARD,0,Power 5,FALSE
55,Rafael Castro,GW,0.658,0.643,131,12.4,28.7,20.8,12.2,11.3,4.2,6.7,25.3,-1.7,1.8,133,91,42,366.1,33.8,22,25.7,15.9,5.8,9,0.643,0,0,0,4.3,6.4,0.667,2.5,6.3,8.9,1.6,2,1.5,1.5,1.7,1.07,71.1,0.0,36.8,6-11,C,Sr,A-10,25-26,26,BIG,0,High-Major,FALSE
56,Logan Duncomb,WIN,0.64,0.595,131.9,16.5,25.9,21.1,14.6,11.7,1.7,3.9,31,-3.4,1.8,131,99.9,31.1,430.9,33.5,28,25.7,19,6.4,10.8,0.595,0,0.1,0,6.2,8.5,0.724,3.7,5.6,9.3,1.6,0.8,0.8,2,2.9,0.80,78.7,0.9,38.1,6-10,F,Sr,BSC,25-26,26,FORWARD,0,Low-Major,FALSE
57,Sir Marius Jones,UNM,0,0,0,0,0,0,137.9,0,0,0,0,64.4,0,265.5,79.8,185.7,1,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-4,G,Fr,MWC,25-26,26,GUARD,0,High-Major,FALSE
58,Rob Wilmote,STPC,1,1,100,0,0,0,0,0,0,0,22,0,2,200,82.7,117.3,0.8,33.1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,35.0,6-4,G,So,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
59,Max Young,UWG,1.25,1.25,200,0,0,0,0,0,0,0,14.5,0,2.5,250,114.3,135.7,3.5,32.8,4,1.8,1.3,0.5,0.5,1,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,60.0,79.3,6-2,G,So,A-SUN,25-26,26,GUARD,0,Low-Major,FALSE
60,Dylan Faulkner,SAMF,0.609,0.623,116.5,12.1,27.1,19.7,16.9,8,1.4,6.2,31.4,-0.4,1.6,124.7,100.6,24.1,411.8,32.7,27,25.9,17.6,6.7,10.7,0.623,0,0.1,0,4.3,7.9,0.542,2.5,5.9,8.4,1.7,0.6,1.5,1.3,1.8,1.31,73.8,0.9,34.8,6-9,F,Jr,SoCon,25-26,26,FORWARD,0,Low-Major,FALSE
61,Kaden Holdbrook,DEN,0,0,0,0,0,0,148.1,0,0,0,0,70,0,229.6,124.9,104.7,1,32.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-2,G,Jr,Summit,25-26,26,GUARD,0,Low-Major,FALSE
62,Zarique Nutter,FORD,0.519,0.448,119.8,17.7,20.6,19.1,12.9,9.9,3.6,5.6,39.4,-4.4,1.3,117.5,79.1,38.3,26.5,32.6,3,16.3,12.7,4.3,9.7,0.448,0,1,0,4,5.3,0.75,2.7,3,5.7,1,1,0.7,1.3,1.7,0.77,54.6,10.3,37.7,6-7,F,Sr,A-10,25-26,26,FORWARD,0,High-Major,FALSE
63,Reid Lovelace,OKLA,0.5,0.5,66.7,0,0,0,38.7,0,16.6,0,21.4,19.8,1,154.3,72.4,81.9,3.8,32.1,4,1.8,0.8,0.3,0.8,0.333,0.3,0.8,0.333,0,0,0,0,0,0,0.5,0.5,0,0,0.5,,0.0,100.0,44.8,5-10,G,Sr,SEC,25-26,26,GUARD,0,Power 5,FALSE
64,Derrick Anderson,YSU,0.573,0.577,120.5,4.2,9.1,7,26.4,0,8.4,2.9,20,11.6,1.2,149.9,77.3,72.7,20.3,31.9,6,5.7,2.7,1.2,2.2,0.538,0.2,1,0.167,0.2,0.3,0.5,0.2,0.5,0.7,1,0.8,0.2,0,0.2,,13.6,45.5,42.4,6-1,G,Sr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
65,Grant Neal,BELL,0.619,0.525,160.7,3.2,15.3,9.4,4.9,3.6,4,0,33.7,-0.8,1.7,129.9,116.2,13.7,19.5,31.8,10,4.4,3.3,1,2,0.5,0.1,0.4,0.25,1.2,1.4,0.857,0.1,0.5,0.6,0.1,0.3,0,0.1,0.2,1.00,70.0,20.0,48.5,6-3,G,Fr,A-SUN,25-26,26,GUARD,0,Low-Major,FALSE
66,Greg Cooper,HAR,1.5,1.5,200,0,21.6,12.6,0,0,0,0,11.1,0,3,300,84,216,2.5,31.8,3,1.7,1,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0.3,0.3,0,0,0,0,0.3,,0.0,100.0,94.0,6-0,G,Sr,IVY,25-26,26,GUARD,0,Mid-Major,FALSE
67,Solomon Davis,VT,0,0,0,0,0,0,0,0,0,100,0,0,0,0,49.2,-49.2,1,31.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,6-11,C,Fr,ACC,25-26,26,BIG,0,Power 5,FALSE
68,Caleb Van De Griend,IDHST,0.605,0.582,156.8,19.1,29.9,24.4,9.4,10.9,1.3,4.4,32,-4.4,1.4,124.1,108.9,15.2,277.1,31.6,29,18.2,11.9,4.6,8.2,0.556,0.4,1.3,0.324,2.3,3.4,0.687,2.6,3.9,6.4,0.7,0.4,0.7,1.2,1.8,0.58,41.5,15.9,49.2,6-8,F,Sr,BSKY,25-26,26,FORWARD,0,Low-Major,FALSE
69,Caleb Wilson,UNC,0.626,0.59,155,11.5,23.2,17.8,17.4,11,2.7,4.3,28.2,-0.6,1.6,128.6,93.9,34.6,437.1,31.2,24,31.3,19.8,7.1,12.3,0.578,0.3,1.1,0.259,5.4,7.5,0.713,2.8,6.6,9.4,2.7,1.5,1.4,2,1.9,1.35,61.0,8.9,48.5,6-9,F,Fr,ACC,25-26,26,FORWARD,0,Power 5,FALSE
70,Micah Curtis,UND,0.598,0.579,132.9,6.3,18,11.8,4.4,0,1.4,16.4,25.4,1.7,1.3,137,95.1,41.9,22,30.8,3,12.3,8.3,3.7,6.3,0.579,0,0.3,0,1,1.3,0.75,0.7,1.7,2.3,0.3,0.3,1.7,0,0,,20.6,4.8,32.7,6-8,F,Fr,Summit,25-26,26,FORWARD,0,Low-Major,FALSE
71,JaJuan Nicholls,TNTCH,0.642,0.631,128.8,14.8,22.2,18.6,6.3,9.6,1.3,5,26.9,-3.5,1.6,128.1,103.1,25,269.6,30.4,29,17.8,11.2,4.5,7.1,0.631,0,0,0,2.2,3.4,0.657,2.1,3.3,5.4,0.4,0.4,0.9,0.9,1.4,0.44,47.9,0.0,33.8,6-8,F,Jr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
72,Ian Imegwu,COR,0.686,0.692,147,4.2,23.5,13.9,32.2,5.3,0,0,30.5,6.7,1.4,138.4,114.7,23.7,55.3,30.3,15,5.7,4.9,1.7,3.5,0.481,1.5,3,0.489,0.1,0.3,0.5,0.2,1.1,1.3,0.9,0,0,0.2,0.7,4.50,8.6,85.7,69.9,6-9,F,Jr,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
73,Kellen Thames,STLOU,0.684,0.681,162.2,11.3,20.9,16.7,20.7,14.3,4.5,1.2,24.1,0.3,1.6,132.7,86.7,46,263.8,30.3,26,17.2,10.1,4.2,6.2,0.675,0.1,0.3,0.286,1.7,2.6,0.662,1.5,3.5,5,1.9,1.4,0.2,1.2,1.5,1.58,41.9,4.8,44.1,6-6,G,Jr,A-10,25-26,26,GUARD,0,High-Major,FALSE
74,Daniel Ogunyemi,YALE,0.671,0.647,144.7,20.8,27,24.2,10.7,4.9,1.2,0,21.9,2.1,1.5,149.7,96.4,53.3,26.6,30.2,10,4.7,2.6,1.1,1.7,0.647,0,0,0,0.4,0.5,0.8,0.7,1.1,1.8,0.3,0.1,0,0.1,0.6,3.00,29.4,0.0,34.4,6-7,F,Fr,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
75,Tichyque Musaka,SFA,0.525,0.6,80,42.3,21.2,31.8,5.2,7.5,1.9,3.6,21.9,-1.1,1.3,132,94.6,37.4,18.4,30.2,7,4.1,1.9,0.9,1.4,0.6,0,0.1,0,0.1,0.7,0.2,1.4,0.7,2.1,0.1,0.1,0.1,0.1,0.3,1.00,50.0,7.1,26.9,6-11,C,Jr,SLC,25-26,26,BIG,0,Low-Major,FALSE
76,"Larry Johnson, Jr.",MCNST,0.596,0.547,157,9.1,18.5,13.8,13.6,6.6,2.3,0,31.5,0,1.4,130.1,99.1,31.1,323.6,30.1,29,24.1,16.9,6.1,11.8,0.519,0.7,2.7,0.247,4,4.9,0.804,1.7,3.4,5.2,1.5,1,0,1,1.6,1.50,41.5,22.9,56.2,6-4,F,Fr,SLC,25-26,26,FORWARD,0,Low-Major,FALSE
77,A.J. Dybantsa,BYU,0.619,0.575,165.8,5.5,17.9,11.8,22.9,12.4,1.8,1.3,32.9,-0.9,1.5,125.3,105.2,20,476.8,29.9,28,33.8,25.1,8.6,16.3,0.532,1.4,3.8,0.368,6.4,8.4,0.758,1.5,5.2,6.8,3.8,1.1,0.4,2.9,1.3,1.31,51.5,23.3,66.1,6-9,GF,Fr,B12,25-26,26,WING,0,Power 5,FALSE
78,Lachlan Smith,FAU,0.513,0,100,42.3,0,17.7,0,33.9,17.2,0,43.2,-30.9,2,99.5,55.4,44.1,1.5,29.9,2,1.5,1,0,0.5,0,0,0,0,1,1,1,0.5,0,0.5,0,0.5,0,0.5,0,0.00,200.0,0.0,48.0,6-3,G,Fr,AAC,25-26,26,GUARD,0,High-Major,FALSE
79,Allen Graves,SCU,0.6,0.571,162.9,15.9,21.1,18.5,14.1,6.9,5.2,4.8,21.8,2.3,1.4,137.3,93.9,43.3,372.1,29.7,30,22.4,11.4,4.1,8,0.51,1,2.4,0.403,2.3,3.2,0.716,2.9,3.7,6.6,1.8,2,0.9,0.7,3.2,2.57,40.0,30.0,58.7,6-9,F,Fr,WCC,25-26,26,FORWARD,0,High-Major,FALSE
80,Iwo Baganc,SIUE,0.763,0.714,171.4,15.3,15,15.1,4.3,10.9,4,0,21,-3.1,1.8,148.7,93.6,55.1,19.4,29.7,7,6.1,3.6,1.4,2,0.714,0,0.4,0,0.7,0.7,1,0.7,0.7,1.4,0.1,0.4,0,0.3,1.1,0.33,35.0,20.0,45.2,6-8,F,Fr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
81,Jack Karasinski,BELL,0.683,0.642,176.7,5.6,17.9,12.1,8.6,8.5,1.2,1.1,31.5,-2.3,1.7,132,125.6,6.4,341.5,29.6,27,29.5,20.7,6.7,12.1,0.549,2.3,5.5,0.412,5.1,6.3,0.806,1.1,3.7,4.8,1.1,0.6,0.2,1.4,2,0.79,52.1,45.5,81.8,6-7,F,Sr,A-SUN,25-26,26,FORWARD,0,Low-Major,FALSE
82,Izaiyah Nelson,USOFL,0.63,0.592,144.8,16.4,24.8,20.6,7.3,9.9,3.2,5.9,23.7,-2.6,1.6,132.5,93.9,38.5,449.5,29.6,28,27.4,16.3,5.8,9.9,0.581,0.2,1.4,0.15,4.6,6.4,0.717,3.9,6,9.9,1,1.6,1.5,1.4,3.1,0.71,64.6,14.1,48.6,6-10,C,Sr,AAC,25-26,26,BIG,0,High-Major,FALSE
83,Adam Stewart,TCU,1,1,100,33.3,0,15.3,0,0,0,0,11.6,0,2,213.5,92.8,120.7,2.3,29.3,4,1,0.5,0.3,0.3,1,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,,0.0,0.0,35.0,6-11,C,So,B12,25-26,26,BIG,0,Power 5,FALSE
84,Cam Lawin,SDSU,0.813,0.813,112.5,0,0,0,0,11.1,0,0,32.1,-7.2,1.6,134.1,97.8,36.3,5,29.2,6,2.3,2.2,0.8,1.3,0.625,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0.2,0.3,0.00,0.0,76.9,57.5,6-3,SG,Jr,MWC,25-26,26,GUARD,0,High-Major,FALSE
85,Christian Dedivanaj,BGSU,1,1,100,21.4,18.9,20.1,27.6,0,8.4,0,3.6,14.8,2,214.5,62,152.5,9.3,29.2,5,2.4,0.4,0.2,0.2,1,0,0,0,0,0,0,0.4,0.4,0.8,0.6,0.4,0,0,0.2,,0.0,0.0,35.0,6-3,G,Fr,MAC,25-26,26,GUARD,0,Mid-Major,FALSE
86,Braylen Bowman,UNCG,0.667,0.667,100,0,13.4,6.9,59.4,0,0,0,17.3,23.6,1.3,172.2,105.5,66.7,10.5,29.2,5,3.2,1.6,0.6,1.2,0.5,0.4,0.8,0.5,0,0,0,0,0.4,0.4,1.2,0,0,0,0.2,,0.0,66.7,49.8,6-1,GF,Fr,SoCon,25-26,26,WING,0,Low-Major,FALSE
87,Graham Ike,ZAGS,0.629,0.595,168.4,9.1,24.7,17.1,14.7,9.1,1.6,3.4,27.8,0.4,1.5,131.4,92.1,39.2,419.4,29.2,25,30,19.9,7.6,13.4,0.567,0.7,2.1,0.321,4,5.2,0.775,2.2,6.2,8.4,2.6,0.6,0.8,1.5,2.6,1.73,38.8,15.7,54.5,6-9,F,Sr,WCC,25-26,26,FORWARD,0,High-Major,FALSE
88,Dario Domingos,UTECH,0.648,0.641,152.5,21.5,14.3,17.7,7.9,15.2,1.8,2.5,34.3,-8.1,1.6,119.9,102.8,17.1,67.1,29.2,23,6.9,5,2,3.1,0.634,0,0.2,0.25,1.1,1.7,0.641,1.2,0.9,2,0.2,0.2,0.2,0.7,1.8,0.29,54.8,6.5,42.8,6-7,F,Sr,WAC,25-26,26,FORWARD,0,Mid-Major,FALSE
89,Cooper Mueller,PRIN,0.75,0.75,150,37.6,0,19,0,50,19.4,0,65.2,-70,1.5,64.7,62.9,1.8,1.5,29,2,1.5,1.5,0.5,1,0.5,0.5,0.5,1,0,0,0,0.5,0,0.5,0,0.5,0,1,0,0.00,0.0,50.0,61.3,6-3,G,Jr,IVY,25-26,26,GUARD,0,Mid-Major,FALSE
90,Braden Huff,ZAGS,0.672,0.678,157,13.4,12.7,13,10.8,6.7,0.9,2.4,26,0.2,1.5,138.4,95.5,42.9,233.3,29,18,25.4,17.8,8.1,12.2,0.662,0.4,1.2,0.333,1.3,2.2,0.575,2.7,2.9,5.6,1.5,0.4,0.5,0.9,2.5,1.67,18.0,9.8,46.9,6-10,PF,Jr,WCC,25-26,26,FORWARD,0,High-Major,FALSE
91,Savon Wykle,MTSU,0.714,0.714,97.1,0,14.3,7.9,12.5,12.5,0,16.2,28.6,-2.4,1.4,124.5,67.4,57.1,8.3,28.9,1,13,10,4,7,0.571,2,5,0.4,0,0,0,0,2,2,1,0,2,1,0,1.00,0.0,71.4,70.7,6-5,GF,Sr,C-USA,25-26,26,WING,0,Mid-Major,FALSE
92,Cole Bott,TEXAS,1.5,1.5,200,0,12.4,7.1,16.6,0,6.6,0,5.6,7.8,3,276.1,78,198.2,5,28.9,6,1.3,0.5,0.2,0.2,1,0.2,0.2,1,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,,0.0,100.0,93.5,6-6,F,Sr,SEC,25-26,26,FORWARD,0,Power 5,FALSE
93,Cole Alexander,FDU,0.508,0.5,100,43.5,22.9,33.4,0,0,0,0,25.2,0,1.5,136.7,104.1,32.6,3,28.7,6,1,0.5,0.2,0.3,0.5,0,0.2,0,0.2,0.3,0.5,0.3,0.2,0.5,0,0,0,0,0.2,,100.0,66.7,43.8,6-7,F,Sr,NEC,25-26,26,FORWARD,0,Low-Major,FALSE
94,Gus Yalden,UVM,0.595,0.574,158,10.9,19.5,15.3,23.6,10.2,0.9,2.4,34,-0.3,1.4,120.4,106.2,14.2,291.1,28.7,26,25,16.5,6.4,12.2,0.522,1.3,3.7,0.344,2.5,3.5,0.714,2,3.7,5.8,2.3,0.4,0.5,1.6,2.5,1.44,28.7,30.3,62.5,6-9,F,So,AEC,25-26,26,FORWARD,0,Low-Major,FALSE
95,Ayden Davis,WRST,0.89,0.929,252.4,10.9,9.2,10,0,0,4.4,5.2,15.2,0,2.1,185.1,65.1,120,12.1,28.5,3,8.7,5,2,2.3,0.857,0.3,0.3,1,0.7,1,0.667,0.7,0.7,1.3,0,0.7,0.3,0,2,,43.5,13.0,70.6,6-10,C,Fr,Horizon,25-26,26,BIG,0,Low-Major,FALSE
96,J.T. Toppin,TXTCH,0.571,0.567,140.8,14.9,23,19,13.6,11.5,2.2,5.1,31.1,-3.1,1.3,117.8,99.7,18.1,447.6,28.5,25,34.9,21.8,9.4,17.1,0.548,0.6,2.3,0.281,2.5,4.3,0.579,4.2,6.6,10.8,2.1,1.4,1.7,2.5,2.8,0.84,25.1,13.5,48.8,6-9,F,Jr,B12,25-26,26,FORWARD,0,Power 5,FALSE
97,Cam Fletcher,HP,0.621,0.6,163.7,10.3,27.9,19.3,7.7,9.1,3.4,3.8,25.6,-2,1.4,128.9,90.8,38,253.4,28.5,21,22.2,13.6,5.2,9.7,0.539,1.2,3.4,0.352,2,2.6,0.745,1.8,5,6.9,1,1.4,0.7,1.1,1.7,0.91,26.8,35.1,62.9,6-7,PF,Sr,BSC,25-26,26,FORWARD,0,Low-Major,FALSE
98,Elliott Taite,AF,0.636,0.636,102.6,0,15.3,7.3,59.4,8.3,0,0,38.2,2,1.3,106.8,131.4,-24.6,8.3,28.5,8,2.2,1.8,0.6,1.4,0.455,0.5,0.9,0.571,0,0,0,0,0.3,0.3,0.3,0,0,0.1,0,3.00,0.0,64.3,50.7,6-3,G,So,MWC,25-26,26,GUARD,0,High-Major,FALSE
99,Mathok Majok,NEWOR,0.654,0.68,121.3,21.2,18.2,19.6,0,11.1,1.4,14.2,22,-4.9,1.7,127.5,108.9,18.6,42.4,28.5,15,5.3,2.8,1.1,1.7,0.68,0,0,0,0.5,1,0.533,0.9,0.9,1.7,0,0.1,0.7,0.3,0.9,0.00,58.8,0.0,34.1,7-4,C,Jr,SLC,25-26,26,BIG,0,Low-Major,FALSE
100,Christian Reeves,C of C,0.658,0.66,128.1,16.1,27.4,22.1,3.2,10,0.8,7.1,22.6,-3.6,1.6,130.3,98.7,31.6,314.1,28.4,28,20.7,11,4.4,6.7,0.66,0,0,0,2.1,3.4,0.621,2.7,5.1,7.8,0.3,0.3,1.3,0.9,1.8,0.33,50.7,0.0,34.3,7-2,C,Jr,CAA,25-26,26,BIG,0,Mid-Major,FALSE
101,Chandler Cuthrell,ELON,0.581,0.537,147,9.2,21,15,13.6,10.3,2.2,1.3,34.7,-3.1,1.5,120.2,110,10.2,353.3,28.4,28,27.7,20.1,6.8,13.5,0.503,0.9,3.5,0.268,5.6,8.1,0.699,2.1,4.6,6.7,1.7,1.1,0.3,2,2,0.85,60.0,25.9,61.4,6-8,F,Sr,CAA,25-26,26,FORWARD,0,Mid-Major,FALSE
102,Isaac Hawkins,UVU,0.72,0.705,182.8,16,17.5,16.8,9.3,14.2,2,10.8,20.4,-2.6,1.7,135.5,90.7,44.8,206,28.4,27,14.3,7.4,3,4.3,0.692,0.1,0.3,0.375,1.3,1.7,0.761,1.7,2.1,3.8,0.7,0.5,1.4,0.9,1.9,0.78,39.5,7.0,48.7,6-10,C,Jr,WAC,25-26,26,BIG,0,Mid-Major,FALSE
103,Ethan Wright,MIAMI,0.598,0.333,116.7,0,35.8,22.2,0,0,4.7,0,24.6,0,2.3,149.5,72,77.5,6,28.3,5,2.2,1.4,0.2,0.6,0.333,0,0,0,1,1.2,0.833,0,0.8,0.8,0,0.2,0,0,0.2,,200.0,0.0,49.3,6-4,G,Jr,MAC,25-26,26,GUARD,0,Mid-Major,FALSE
104,Aidan Kehoe,USNA,0.691,0.738,121.3,15,25.9,20.7,14.7,14.2,2.1,4.7,20.9,-1.4,1.7,130.1,91.1,39,517.9,28.3,29,33.2,15.5,6.6,9,0.738,0,0,0,2.2,4.7,0.474,3.7,7.1,10.8,2.1,1.2,1.2,1.9,1.5,1.11,52.2,0.0,34.1,6-10,C,Sr,Patriot,25-26,26,BIG,0,Low-Major,FALSE
